path,dataset,protocol,enable_rgmfd,enable_rdl,rgmfd_rel_weight,rgmfd_start_epoch,best_R1,best_mAP,last_Best_R1,last_Best_mAP
logs/llcm/t2v/2026:04:19-12:34:38/log/log.txt,llcm,t2v,0,NA,NA,NA,0.471,0.5332,0.471,0.5332
logs/llcm/t2v/2026年05月24日-15:57:48/log/log.txt,llcm,t2v,0,NA,NA,NA,0.3684,0.4324,0.3684,0.4324
logs/llcm/t2v/2026年05月25日-17:23:04/log/log.txt,llcm,t2v,1,0,0.2,0,0.4744,0.5404,0.4744,0.5404
logs/llcm/t2v/2026年05月26日-09:39:22/log/log.txt,llcm,t2v,1,1,0.1,20,0.1658,0.2247,0.1658,0.2247
logs/llcm/t2v/2026年05月26日-10:02:18/log/log.txt,llcm,t2v,1,1,0.1,20,0.4787,0.5413,0.4787,0.5413
logs/llcm/t2v/2026年05月26日-19:00:44/log/log.txt,llcm,t2v,1,0,0.1,0,0.475,0.5382,0.475,0.5382
logs/llcm/t2v/2026年05月27日-09:40:27/log/log.txt,llcm,t2v,1,0,0.25,0,0.4674,0.5314,0.4674,0.5314
logs/llcm/t2v/2026年05月27日-09:43:44/log/log.txt,llcm,t2v,1,0,0.05,0,0.4603,0.5221,0.4603,0.5221
logs/llcm/t2v/2026年05月27日-11:45:00/log/log.txt,llcm,t2v,1,0,0.05,0,0.4715,0.5336,0.4715,0.5336
logs/llcm/t2v/2026年05月27日-18:01:23(创新点1)/log/log.txt,llcm,t2v,1,0,0.3,0,0.4776,0.5438,0.4776,0.5438
logs/llcm/t2v/2026年05月29日-12:56:36/log/log.txt,llcm,t2v,1,0,0.3,20,0.3721,0.4416,0.3721,0.4416
logs/llcm/t2v/2026年05月29日-13:05:08/log/log.txt,llcm,t2v,1,1,0.3,20,0.275,0.3323,0.275,0.3323
logs/llcm/v2t/2026年05月25日-06:31:47/log/log.txt,llcm,v2t,0,0,NA,NA,0.3603,0.4035,0.3603,0.4035
logs/llcm/v2t/2026年05月25日-17:39:33/log/log.txt,llcm,v2t,1,0,0.2,0,0.5605,0.5982,0.5605,0.5982
logs/llcm/v2t/2026年05月26日-08:55:20/log/log.txt,llcm,v2t,1,0,0.2,0,0.2497,0.301,0.2497,0.301
logs/llcm/v2t/2026年05月26日-12:40:36/log/log.txt,llcm,v2t,1,1,0.1,20,0.556,0.592059,0.556,0.592059
logs/llcm/v2t/2026年05月26日-17:12:22/log/log.txt,llcm,v2t,1,0,0.1,0,0.5537,0.5904,0.5537,0.5904
logs/llcm/v2t/2026年05月27日-19:47:16(创新点1)/log/log.txt,llcm,v2t,1,0,0.3,0,0.566,0.6041,0.566,0.6041
logs/llcm/v2t/2026年05月29日-12:57:01/log/log.txt,llcm,v2t,1,0,0.3,20,0.0233,0.0534,0.0233,0.0534
logs/llcm/v2t/2026年05月29日-13:04:24/log/log.txt,llcm,v2t,1,1,0.3,20,,,,
logs/llcm/v2t/2026年05月29日-13:04:57/log/log.txt,llcm,v2t,1,1,0.3,20,0.2947,0.3379,0.2947,0.3379
logs/regdb/t2v/2026:04:19-12:33:33_1/log/log.txt,regdb,t2v,0,NA,NA,NA,0.8437,0.7909,0.8437,0.7909
logs/regdb/t2v/2026:04:20-09:27:28_1/log/log.txt,regdb,t2v,0,NA,NA,NA,0.8617,0.8037,0.8617,0.8037
logs/regdb/t2v/2026年04月22日-22:20:56/log/log.txt,regdb,t2v,0,NA,NA,NA,0.4272,0.3939,0.4272,0.3939
logs/regdb/t2v/2026年04月23日-09:43:36/log/log.txt,regdb,t2v,0,NA,NA,NA,0.7228,0.666,0.7228,0.666
logs/regdb/t2v/2026年04月23日-10:14:43/log/log.txt,regdb,t2v,0,NA,NA,NA,0.5471,0.5086,0.5471,0.5086
logs/regdb/t2v/2026年04月23日-12:39:32/log/log.txt,regdb,t2v,0,NA,NA,NA,0.201,0.2032,0.201,0.2032
logs/regdb/t2v/2026年04月23日-12:51:16/log/log.txt,regdb,t2v,0,NA,NA,NA,0.8286,0.7794,0.8286,0.7794
logs/regdb/t2v/2026年04月23日-17:14:35/log/log.txt,regdb,t2v,0,NA,NA,NA,0.8539,0.7935,0.8539,0.7935
logs/regdb/t2v/2026年04月23日-17:15:26/log/log.txt,regdb,t2v,0,NA,NA,NA,0.465,0.4129,0.465,0.4129
logs/regdb/t2v/2026年04月23日-19:18:37/log/log.txt,regdb,t2v,0,NA,NA,NA,0.8112,0.7726,0.8112,0.7726
logs/regdb/t2v/2026年04月23日-20:18:48/log/log.txt,regdb,t2v,0,NA,NA,NA,0.8112,0.7726,0.8112,0.7726
logs/regdb/t2v/2026年05月25日-09:27:38/log/log.txt,regdb,t2v,1,0,0.2,0,,,,
logs/regdb/v2t/2026:04:19-17:31:48_1/log/log.txt,regdb,v2t,0,NA,NA,NA,0.8602,0.8163,0.8602,0.8163
logs/regdb/v2t/2026:04:20-13:42:40_1/log/log.txt,regdb,v2t,0,NA,NA,NA,0.8714,0.826,0.8714,0.826
logs/regdb/v2t/2026:04:22-01:25:30_1/log/log.txt,regdb,v2t,0,NA,NA,NA,0.8689,0.8139,0.8689,0.8139
logs/regdb/v2t/2026年04月22日-08:46:05_1/log/log.txt,regdb,v2t,0,NA,NA,NA,0.8519,0.7951,0.8519,0.7951
logs/regdb/v2t/2026年05月25日-09:27:43/log/log.txt,regdb,v2t,1,0,0.2,0,,,,
logs/sysu/all/2026:04:19-19:49:31/log/log.txt,sysu,all,0,NA,NA,NA,0.6918,0.6626,0.6918,0.6626
logs/sysu/all/2026:04:20-10:30:01/log/log.txt,sysu,all,0,NA,NA,NA,,,,
logs/sysu/all/2026年05月22日-15:24:24/log/log.txt,sysu,all,0,NA,NA,NA,0.6911,0.6604,0.6911,0.6604
logs/sysu/all/2026年05月22日-17:28:13/log/log.txt,sysu,all,0,NA,NA,NA,0.6946,0.6659,0.6946,0.6659
logs/sysu/all/2026年05月22日-17:31:06（best）/log/log.txt,sysu,all,0,NA,NA,NA,0.696,0.6644,0.696,0.6644
logs/sysu/all/2026年05月23日-12:47:02/log/log.txt,sysu,all,0,NA,NA,NA,,,,
logs/sysu/all/2026年05月23日-12:52:21/log/log.txt,sysu,all,0,NA,NA,NA,0.6784,0.6571,0.6784,0.6571
logs/sysu/all/2026年05月23日-14:15:35/log/log.txt,sysu,all,0,NA,NA,NA,0.6584,0.6341,0.6584,0.6341
logs/sysu/all/2026年05月23日-16:29:20/log/log.txt,sysu,all,0,NA,NA,NA,0.6805,0.6481,0.6805,0.6481
logs/sysu/all/2026年05月23日-17:43:29/log/log.txt,sysu,all,0,NA,NA,NA,0.6931,0.6625,0.6931,0.6625
logs/sysu/all/2026年05月24日-08:50:57/log/log.txt,sysu,all,0,NA,NA,NA,,,,
logs/sysu/all/2026年05月24日-08:55:37/log/log.txt,sysu,all,0,NA,NA,NA,0.6743,0.6553,0.6743,0.6553
logs/sysu/all/2026年05月24日-15:39:09/log/log.txt,sysu,all,0,NA,NA,NA,0.6888,0.6606,0.6888,0.6606
logs/sysu/all/2026年05月25日-09:25:43(对应indoor涨2)/log/log.txt,sysu,all,1,1,0.2,0,0.6929,0.6716,0.6929,0.6716
logs/sysu/all/2026年05月25日-17:45:14/log/log.txt,sysu,all,1,1,0.1,20,0.5436,0.5252,0.5436,0.5252
logs/sysu/all/2026年05月25日-18:11:48(创新点1)/log/log.txt,sysu,all,1,1,0.1,20,0.7123,0.6841,0.7123,0.6841
logs/sysu/all/2026年05月25日-18:17:50/log/log.txt,sysu,all,1,0,0.1,0,0.7082,0.6829,0.7082,0.6829
logs/sysu/all/2026年05月28日-15:54:48/log/log.txt,sysu,all,1,0,0.1,0,0.6739,0.6534,0.6739,0.6534
logs/sysu/all/2026年05月29日-09:01:04/log/log.txt,sysu,all,1,1,0.1,20,0.6853,0.6571,0.6853,0.6571
logs/sysu/all/2026年05月29日-13:06:05/log/log.txt,sysu,all,1,1,0.3,20,0.5703,0.554,0.5703,0.554
logs/sysu/indoor/2026:04:20-03:26:53/log/log.txt,sysu,indoor,0,NA,NA,NA,0.7603,0.8004,0.7603,0.8004
logs/sysu/indoor/2026年05月24日-15:53:01/log/log.txt,sysu,indoor,0,NA,NA,NA,0.4135,0.5038,0.4135,0.5038
logs/sysu/indoor/2026年05月24日-18:20:13/log/log.txt,sysu,indoor,0,NA,NA,NA,0.413,0.504,0.413,0.504
logs/sysu/indoor/2026年05月25日-09:26:00（indoorbest）/log/log.txt,sysu,indoor,1,1,0.2,0,0.7845,0.8219,0.7845,0.8219
logs/sysu/indoor/2026年05月26日-09:43:30(创新点1)/log/log.txt,sysu,indoor,1,0,0.1,0,0.792,0.8263,0.792,0.8263
logs/sysu/indoor/2026年05月26日-10:00:36/log/log.txt,sysu,indoor,1,1,0.1,20,0.7625,0.8044,0.7625,0.8044
logs/sysu/indoor/2026年05月29日-13:02:07/log/log.txt,sysu,indoor,1,1,0.1,20,,,,
logs/sysu/indoor/2026年05月29日-13:02:27/log/log.txt,sysu,indoor,1,1,0.1,20,,,,
logs/sysu/indoor/2026年05月29日-13:06:24/log/log.txt,sysu,indoor,1,1,0.3,20,0.6332,0.71,0.6332,0.71
